TABELA JAN 2024,,,,,,,
PRODUTO,UND,APRES,PESO,$ / cartão ,7dd/14dd,,
SÃO VICENTE,,,,,,,
Brie forma ,KG,forma,"3 x 1,1kg"," R$  59,54 "," R$  60,91 ",ok,
Brie triangulo ,UND,caixa,8 x 115g," R$  8,22 "," R$  8,41 ",ok,
Brie Specialitte (Montagnar),KG,forma,3 kg," R$  76,22 "," R$  77,37 ",ok,
Camembert ,UND,caixa,8 x 125g," R$  9,98 "," R$  10,21 ",ok,
Camembleu ,KG,peça,8 x 125g," R$  11,14 "," R$  11,40 ",ok,
Queijo Azul cartão (tipo gorgonzola),KG,cartela,36 x 160g," R$  54,46 "," R$  55,28 ",ok,
Queijo Azul forma (tipo gorgonzola),KG,forma,"2 x 3,1kg"," R$  51,61 "," R$  52,80 ",ok,
Emmental São Vicente forma 12 kg,KG,forma,1 x 12 kg," R$  69,25 "," R$  70,85 ",ok,
Emmental São Vicente barra 3 kg,KG,barra,2 x 3 kg," R$  73,02 "," R$  74,12 ",ok,
Emmental São Vicente forma 5 kg,KG,forma,1 x 5 kg," R$  71,42 "," R$  72,50 ",ok,
Gruyere Forma São Vicente 12kg,KG,forma,1 x 12kg," R$  71,42 "," R$  73,07 ",ok,
Gruyere Forma São Vicente 6 kg,KG,forma,1 x 6 kg," R$  73,06 "," R$  73,06 ",ok,
Gruyere Forma São Vicente barra 3kg,KG,barra,2 x 3 kg," R$  74,47 "," R$  75,59 ",ok,
Gouda São Vicente,KG,forma,2 x 3 kg," R$  66,23 "," R$  67,23 ",ok,
Gouda Provence,KG,forma,2 x 3 kg," R$  72,87 "," R$  73,97 ",ok,
Gouda Tomate seco,KG,forma,2 x 3 kg," R$  73,54 "," R$  74,64 ",ok,
Emmental Skin Pack 220g,UND,und,1 x 10 110g," R$  9,54 "," R$  9,68 ",ok,
Gouda Skin Pack 220g,UND,und,1 x 10 110g," R$  9,54 "," R$  9,68 ",ok,
Gruyere Skin Pack 220g,UND,und,1 x 10 110g," R$  9,54 "," R$  9,68 ",ok,
Massa para fondue tradicional,UND,caixa,6 x 400g," R$  20,91 "," R$  21,22 ",ok,
MAASDAM FORMA 12 KG,FORMA,FORMA,12 KG," R$  77,58 "," R$  78,75 ",ok,
Minas Padrão São vicente ,KG,forma,"24 x 0,250"," R$  52,46 "," R$  53,24 ",ok,
Esferico São Vicente,KG,Forma,"4 x 2,kg"," R$  39,90 "," R$  40,50 ",ok,
Reino bola sem lata,KG,forma,4 x 1 kg," R$  66,14 "," R$  67,14 ",ok,
Reino bola lata,KG,forma,12 x 1 kg," R$  81,32 "," R$  82,54 ",ok,
REQUEIJAO SÃO VICENTE,UND,bisnaga,"1,5KG"," R$  47,88 "," R$  48,60 ",ok,
Queijo processado sabor cheddar ,UND,bisnaga,"6 x 1,006kg"," R$  51,87 "," R$  53,07 ",ok,27
COYOTE,,,,,,,
Manteiga c/sal,KG,bloco,"5,0kg"," R$  41,23 "," R$  41,85 ",ok,
Manteiga s/sal,KG,bloco,"5,0kg"," R$  41,23 "," R$  41,85 ",ok,
Mussarela ,KG,vácuo,"6 x 4,0kg"," R$  33,25 "," R$  33,75 ",ok,3
GRAN PARMA,,,,,,,
Grana  1/2 FORMA,KG,1/2 forma,16 kg," R$  107,60 "," R$  109,22 ",ok,
Grana 1/8,KG,1 forma,4 kg," R$  107,60 "," R$  109,22 ",ok,
Grana Padano,KG,peça,200G," R$  121,36 "," R$  123,19 ",ok,3
 VILLANI ( LINHA PRESUNTO CRU),,,,,,,
PRESUNTO CRU MEC 6 KG,KG,FORMA ,6 KG," R$  130,21 "," R$  132,17 ",ok,2
PRESUNTO FATIADA 250G,UND,250G,12 X 250G," R$  43,74 "," R$  44,40 ",ok,
Bianco Latte (100% LEITE DE BUFALA),,,,,,,
Mussarela Bola Ovo s/ soro ,KG,vácuo,1 x 28 370g," R$  74,88 "," R$  76,01 ",ok,
Mussarela Bola Cereja s/ soro ,KG,vácuo,1 x 28 370g," R$  74,88 "," R$  76,01 ",ok,
Mussarela Forma Barra,KG,forma," 8 x 3,0kg"," R$  60,58 "," R$  61,49 ",ok,3
Borghese (100% LEITE DE BUFALA),,,,,,,
Mussarela no soro bola 40g,UND,pct,"0,5"," R$  33,62 "," R$  34,13 ",ok,
Mussarela no soro bola 10G,UND,pct,"0,500g"," R$  33,62 "," R$  34,13 ",,
BURRATA 200G,UND,POTE,"0,2"," R$  21,48 "," R$  21,80 ",ok,
TÂNIA,,,,,,,
Parmesão curado,KG,fracionado,40 x 250g," R$  71,16 "," R$  72,23 ",ok,
Parmesão curado,KG,forma,"7,0kg"," R$  66,37 "," R$  67,37 ",ok,
Provolone curado defumado,KG,forma,"5,5kg"," R$  52,54 "," R$  53,33 ",ok,
Ricota defumada s/ pimenta,KG,peça,"1,0kg"," R$  35,11 "," R$  35,64 ",ok,
RIQUEZA DE MINAS,,,,,,,
Provolone forma 5 kg,kg,forma,5 kg," R$  47,88 "," R$  48,60 ",ok,
Mnas Padrao Riqueza,kg,peça,"0,500g"," R$  46,55 "," R$  47,25 ",ok,
Ricota fresca 200g,kg,peça,"0,3 kg"," R$  17,96 "," R$  18,23 ",ok,
Parmesão Tropical,kg,forma,5 kg," R$  45,22 "," R$  45,90 ",ok,
Minas frescal Espelho D'agua,KG,forma,"0,5 Kg"," R$  29,26 "," R$  29,70 ",ok,
 CABRIOLA (100% LEITE DE CABRA)  ,,,,,,,
Saint Chevrollin (Tipo BOURSIN) c/ ervas finas ,UND,balde,"4 x 1,0kg"," R$  104,94 "," R$  106,52 ",ok,
Saint Chevrollin (Tipo BOURSIN) natural  (pasta),UND,pote,"4 x 1,0kg"," R$  88,45 "," R$  89,78 ",ok,
Feta fracionado,kg,fracionado,"0,150g"," R$  140,45 "," R$  142,56 ",ok,
Feta forma,kg,forma,"1,5kg"," R$  131,54 "," R$  133,52 ",ok,
Frescal pote,kg,pote,250g," R$  80,47 "," R$  81,68 ",ok,
SUN VALLEY,,,,,,,
Cheddar ,KG,barra,"4 x 1,3kg"," R$  62,91 "," R$  63,86 ",ok,
Tilsit c/Kümmel ,KG,barra,"4 x 1,3kg"," R$  62,91 "," R$  63,86 ",ok,
PRODUTOS DIVERSOS,,,,,,,
Cream cheese Polenghi balde,UND,BLD,"1 X 3,6KG"," R$  159,93 "," R$  162,34 ",ok,
Coalho barra  Serta Norte 2 kg,KG,forma,"2, kg"," R$  47,88 "," R$  48,60 ",ok,
Ricota Estrela da Mantiqueira,KG,peça,500g," R$  17,29 "," R$  17,55 ",ok,
PARMESAO Estrela da Mantiqueira,KG,peça,5KG," R$  47,88 "," R$  48,60 ",ok,
Cream Cheese Catupiry,UND,bisnaga,"8 x 1,2kg"," R$  43,15 "," R$  43,79 ",ok,
Requeijão Catupiry,UND,bisnaga,"12 x 1,5kg"," R$  59,90 "," R$  60,80 ",ok,
Creme de Leite fresco 35% Larisol,UND,garrafa,"12 x 1,1kg"," R$  35,18 "," R$  35,71 ",ok,
Iogurte Natural integral Larisol,UND,garrafa,12 x 900g," R$  10,44 "," R$  10,60 ",ok,
"Requeijaõ Roseli bisnaga 1,8 kg",UND,bisnaga,"8 x 1,8kg"," R$  21,84 "," R$  22,17 ",ok,
"Cream Cheese Roseli bisnaga 1,2kg",UND,bisnaga,"12 x 1,2"," R$  26,44 "," R$  26,84 ",ok,
Grana Padano Gran Mestri 16 KG,KG,peça,16 KG," R$  107,80 "," R$  110,28 ",ok,
Grana Padano Gran Mestri,KG,peça,53 x 150g," R$  143,61 "," R$  145,77 ",ok,
Cheddar MGV Schereiber,KG,pacote,"8 x 2,27kg"," R$  45,41 "," R$  46,09 ",ok,
Tomate seco Villagio,UND,saco,"12 x 1,25kg"," R$  65,66 "," R$  66,65 ",ok,
